time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,windspeed_10m_max
2023-01-01,28.6,21.3,0.0,84,13.0
2023-01-02,28.2,21.8,0.1,78,9.6
2023-01-03,27.8,22.0,0.3,76,17.7
2023-01-04,27.6,22.0,1.9,74,16.7
2023-01-05,28.5,25.0,0.0,69,22.2
2023-01-06,28.1,24.4,0.0,71,24.5
2023-01-07,28.0,23.7,0.9,74,22.3
2023-01-08,27.2,22.2,1.4,74,20.7
2023-01-09,27.0,21.8,0.0,66,17.4
2023-01-10,27.3,20.0,0.0,70,18.2
2023-01-11,27.6,19.3,0.0,76,14.2
2023-01-12,27.6,19.9,0.0,78,13.2
2023-01-13,28.0,18.8,0.0,73,10.7
2023-01-14,27.6,19.1,0.0,75,12.7
2023-01-15,27.3,18.6,0.0,74,11.2
2023-01-16,27.4,18.2,0.0,73,15.6
2023-01-17,28.1,20.2,0.2,70,12.3
2023-01-18,28.4,20.0,0.0,67,15.4
2023-01-19,28.4,19.5,0.0,65,14.9
2023-01-20,27.4,22.0,3.2,74,18.0
2023-01-21,29.1,22.8,1.9,75,21.3
2023-01-22,28.3,22.4,0.0,69,17.7
2023-01-23,28.7,24.5,0.2,69,19.3
2023-01-24,28.0,23.3,0.0,69,17.1
2023-01-25,28.0,22.3,0.4,67,16.0
2023-01-26,29.3,21.5,0.0,67,18.4
2023-01-27,28.7,21.2,0.0,68,15.8
2023-01-28,28.9,21.1,0.2,74,18.2
2023-01-29,28.5,22.7,0.6,71,23.4
2023-01-30,29.0,24.1,1.9,75,24.3
2023-01-31,27.9,24.4,2.0,78,23.5
2023-02-01,28.7,24.9,0.9,75,24.1
2023-02-02,29.0,25.6,0.0,72,24.6
2023-02-03,29.1,25.8,0.9,69,22.9
2023-02-04,29.0,23.5,0.0,73,17.7
2023-02-05,28.7,21.0,0.0,80,16.5
2023-02-06,28.6,20.8,0.0,83,15.5
2023-02-07,29.4,20.8,0.0,82,13.5
2023-02-08,29.1,22.1,0.0,81,12.0
2023-02-09,28.8,21.5,0.0,81,12.4
2023-02-10,31.3,20.4,0.0,77,15.2
2023-02-11,30.0,21.2,0.0,78,12.8
2023-02-12,30.2,19.7,0.0,77,14.4
2023-02-13,29.4,20.0,0.0,78,13.3
2023-02-14,29.2,19.6,0.0,80,16.3
2023-02-15,30.1,20.7,0.0,78,16.6
2023-02-16,29.2,20.1,0.0,78,14.8
2023-02-17,29.1,19.4,0.0,76,13.9
2023-02-18,29.5,20.8,0.0,74,14.8
2023-02-19,29.6,22.2,0.1,76,14.4
2023-02-20,30.8,20.4,0.0,72,14.4
2023-02-21,31.5,20.8,0.0,71,16.3
2023-02-22,31.0,21.0,0.0,69,14.2
2023-02-23,30.4,20.7,0.0,72,16.9
2023-02-24,30.1,20.7,0.0,71,13.0
2023-02-25,30.8,19.6,0.0,74,14.4
2023-02-26,29.5,19.9,0.0,77,14.1
2023-02-27,31.7,20.7,0.0,70,16.7
2023-02-28,30.2,23.1,0.2,75,17.8
2023-03-01,30.7,25.0,0.0,73,17.3
2023-03-02,30.6,21.7,0.0,65,14.0
2023-03-03,30.7,21.5,0.0,72,17.1
2023-03-04,31.2,21.3,0.0,74,15.9
2023-03-05,31.1,22.3,0.0,77,15.8
2023-03-06,31.0,22.3,0.0,75,14.8
2023-03-07,30.4,22.0,0.0,74,16.7
2023-03-08,30.6,23.4,0.0,73,16.2
2023-03-09,30.6,23.0,0.0,76,16.7
2023-03-10,30.4,23.4,0.0,76,16.1
2023-03-11,30.5,22.8,0.0,73,18.7
2023-03-12,30.8,23.1,0.0,78,18.4
2023-03-13,31.8,23.8,0.0,79,15.0
2023-03-14,31.2,23.4,0.0,79,14.0
2023-03-15,31.0,24.8,0.0,77,18.6
2023-03-16,30.9,25.9,0.0,74,18.6
2023-03-17,30.3,24.6,5.9,79,18.0
2023-03-18,30.4,24.8,3.3,77,16.9
2023-03-19,29.9,23.3,21.5,81,15.9
2023-03-20,28.9,23.5,1.5,82,20.6
2023-03-21,30.5,24.4,0.3,83,20.8
2023-03-22,31.9,24.7,1.4,82,17.7
2023-03-23,31.3,25.6,2.0,82,20.8
2023-03-24,31.9,26.2,1.5,83,20.2
2023-03-25,31.5,26.2,0.6,82,22.2
2023-03-26,30.7,26.5,0.7,82,20.4
2023-03-27,33.0,25.4,0.2,80,20.6
2023-03-28,32.0,25.9,0.1,80,20.6
2023-03-29,31.7,26.3,0.0,76,22.1
2023-03-30,31.6,24.8,0.0,75,22.9
2023-03-31,32.4,24.7,0.0,75,23.7
2023-04-01,32.3,26.1,2.2,78,23.5
2023-04-02,32.9,26.9,6.1,79,23.5
2023-04-03,31.3,27.2,0.8,79,23.0
2023-04-04,31.6,27.1,0.4,77,23.1
2023-04-05,32.7,26.5,0.1,78,24.7
2023-04-06,32.9,26.5,0.1,77,22.0
2023-04-07,32.0,25.5,0.0,77,16.6
2023-04-08,31.5,25.1,0.0,77,15.3
2023-04-09,32.4,25.3,0.0,72,15.0
2023-04-10,32.3,25.5,0.0,75,14.5
2023-04-11,33.1,25.0,0.0,77,12.9
2023-04-12,33.9,23.9,0.0,77,17.0
2023-04-13,34.2,24.5,0.0,78,19.1
2023-04-14,34.8,24.2,0.0,78,21.9
2023-04-15,35.3,23.9,0.0,77,19.6
2023-04-16,35.5,25.1,0.0,76,21.7
2023-04-17,34.4,24.4,0.0,77,20.1
2023-04-18,34.4,25.0,0.0,79,22.7
2023-04-19,34.7,25.3,0.0,80,25.9
2023-04-20,36.0,26.4,0.0,78,26.2
2023-04-21,35.9,27.6,0.0,76,27.4
2023-04-22,33.9,28.0,0.1,77,23.5
2023-04-23,33.5,27.9,6.3,77,25.1
2023-04-24,32.6,28.2,0.9,75,22.1
2023-04-25,32.1,27.8,0.9,74,20.2
2023-04-26,32.8,27.2,0.1,71,15.0
2023-04-27,33.1,26.9,0.1,74,17.0
2023-04-28,32.9,27.8,1.4,73,18.2
2023-04-29,31.5,27.8,4.5,77,24.9
2023-04-30,32.2,25.0,5.5,79,20.5
2023-05-01,31.0,24.9,25.5,83,16.0
2023-05-02,28.8,24.1,27.8,87,22.2
2023-05-03,29.0,25.1,9.1,88,12.0
2023-05-04,31.0,25.3,0.7,82,14.2
2023-05-05,30.3,24.7,13.0,87,17.8
2023-05-06,31.0,25.3,5.0,85,9.8
2023-05-07,32.0,25.8,0.2,81,11.8
2023-05-08,31.9,25.2,0.0,80,13.8
2023-05-09,32.9,25.6,0.1,81,13.5
2023-05-10,33.6,26.5,0.0,80,16.1
2023-05-11,34.4,26.7,0.0,81,14.8
2023-05-12,37.2,26.8,0.0,77,17.0
2023-05-13,39.9,28.7,0.0,52,20.6
2023-05-14,40.3,29.6,0.0,60,21.3
2023-05-15,37.1,28.4,0.0,70,20.6
2023-05-16,38.2,28.6,0.0,73,20.2
2023-05-17,34.1,28.5,0.0,79,26.1
2023-05-18,35.9,27.7,0.7,79,23.5
2023-05-19,35.2,28.1,0.0,79,24.0
2023-05-20,33.8,28.0,0.0,79,21.6
2023-05-21,34.5,28.1,0.0,80,23.9
2023-05-22,34.2,27.2,9.8,80,21.9
2023-05-23,35.3,27.9,0.0,74,21.7
2023-05-24,36.3,28.3,0.0,71,26.0
2023-05-25,38.5,29.0,0.9,60,21.9
2023-05-26,38.3,29.3,0.3,63,18.3
2023-05-27,37.7,28.2,0.0,65,14.9
2023-05-28,36.0,28.2,7.2,74,16.2
2023-05-29,34.6,27.9,0.0,76,20.2
2023-05-30,35.1,27.2,0.3,77,21.0
2023-05-31,34.4,26.4,0.0,77,18.6
2023-06-01,36.7,28.5,0.0,67,22.5
2023-06-02,38.7,29.3,0.0,62,16.6
2023-06-03,39.1,29.3,0.0,62,18.2
2023-06-04,37.9,29.2,0.6,59,22.1
2023-06-05,37.9,28.7,0.2,60,19.4
2023-06-06,39.8,28.4,0.1,60,20.6
2023-06-07,35.1,27.5,16.8,63,19.9
2023-06-08,37.1,30.2,0.0,58,20.4
2023-06-09,38.5,28.7,1.4,60,31.7
2023-06-10,38.7,28.6,0.8,63,22.0
2023-06-11,38.3,28.6,5.8,59,24.3
2023-06-12,38.8,28.4,0.3,57,20.1
2023-06-13,38.0,28.7,0.0,59,18.8
2023-06-14,39.4,29.6,0.0,54,19.1
2023-06-15,38.7,30.2,0.0,56,19.0
2023-06-16,39.6,29.6,1.2,54,19.5
2023-06-17,37.5,29.2,0.0,54,20.9
